id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	0	31	31	0	31	0	0
2	0	96	96	157	61	0	61	0	0
3	0	273	273	309	36	0	36	0	0
4	0	462	462	631	152	17	169	0	0
5	0	873	873	1034	139	22	161	0	0
6	0	1156	1156	1355	144	13	199	42	0
7	0	1291	1291	1442	67	62	151	22	0
8	0	1333	1368	1496	100	16	163	47	35
9	0	1552	1552	1607	55	0	55	0	0
11	0	1912	1912	1915	3	0	3	0	0
10	0	1877	1877	1952	52	0	75	23	0
12	0	1923	1923	1991	55	13	68	0	0
13	0	2211	2211	2315	93	11	104	0	0
14	0	2358	2358	2468	97	13	110	0	0
15	0	2511	2511	2697	125	61	186	0	0
0	0	0	0	2697	1487	0	2697	1210	0
